Image Name,Cluster,ColorCount,Color_Value,Value_R,Value_G,Value_B
Girl with a Pearl Earring,クラスター 1,"6,778",#100b11,16,11,17
Girl with a Pearl Earring,クラスター 2,108,#3f4c6b,63,76,107
Girl with a Pearl Earring,クラスター 3,746,#2d221f,45,34,31
Girl with a Pearl Earring,クラスター 4,656,#584130,88,65,48
Girl with a Pearl Earring,クラスター 5,279,#997e5d,153,126,93
Girl with a Pearl Earring,クラスター 6,550,#825e3e,130,94,62
Girl with a Pearl Earring,クラスター 7,141,#7283b2,114,131,178
Girl with a Pearl Earring,クラスター 8,118,#272d44,39,45,68
Girl with a Pearl Earring,クラスター 9,238,#c19f74,193,159,116
Girl with a Pearl Earring,クラスター 10,163,#e3c5a9,227,197,169
Girl with a Pearl Earring,クラスター 11,159,#475a98,71,90,152
Girl with a Pearl Earring,クラスター 12,64,#f5f2ed,245,242,237
Liberty Leading the People,クラスター 1,907,#8c8582,140,133,130
Liberty Leading the People,クラスター 2,"1,776",#3d322a,61,50,42
Liberty Leading the People,クラスター 3,"1,297",#554b42,85,75,66
Liberty Leading the People,クラスター 4,852,#9c9fa4,156,159,164
Liberty Leading the People,クラスター 5,565,#dde1e2,221,225,226
Liberty Leading the People,クラスター 6,929,#6e6660,110,102,96
Liberty Leading the People,クラスター 7,582,#babdc1,186,189,193
Liberty Leading the People,クラスター 8,"2,049",#231e1b,35,30,27
Liberty Leading the People,クラスター 9,285,#2e3d58,46,61,88
Liberty Leading the People,クラスター 10,162,#bc5943,188,89,67
Liberty Leading the People,クラスター 11,321,#6183b2,97,131,178
Liberty Leading the People,クラスター 12,275,#4e627f,78,98,127
Mona Lisa,クラスター 1,609,#5d5b47,93,91,71
Mona Lisa,クラスター 2,"2,362",#211710,33,23,16
Mona Lisa,クラスター 3,"1,279",#392e22,57,46,34
Mona Lisa,クラスター 4,474,#704c2b,112,76,43
Mona Lisa,クラスター 5,"1,644",#2f2217,47,34,23
Mona Lisa,クラスター 6,807,#54371f,84,55,31
Mona Lisa,クラスター 7,300,#97683b,151,104,59
Mona Lisa,クラスター 8,898,#757259,117,114,89
Mona Lisa,クラスター 9,185,#ba8750,186,135,80
Mona Lisa,クラスター 10,445,#8b8564,139,133,100
Mona Lisa,クラスター 11,214,#d2a164,210,161,100
Mona Lisa,クラスター 12,783,#464231,70,66,49
The Birth of Venus,クラスター 1,834,#ab814a,171,129,74
The Birth of Venus,クラスター 2,650,#dabc87,218,188,135
The Birth of Venus,クラスター 3,887,#453d28,69,61,40
The Birth of Venus,クラスター 4,"1,399",#d4cdaf,212,205,175
The Birth of Venus,クラスター 5,"1,010",#b6b699,182,182,153
The Birth of Venus,クラスター 6,861,#c2a269,194,162,105
The Birth of Venus,クラスター 7,670,#895f34,137,95,52
The Birth of Venus,クラスター 8,833,#60553b,96,85,59
The Birth of Venus,クラスター 9,768,#e7e0c8,231,224,200
The Birth of Venus,クラスター 10,845,#29261a,41,38,26
The Birth of Venus,クラスター 11,556,#7b7658,123,118,88
The Birth of Venus,クラスター 12,687,#939579,147,149,121
The Gleaners,クラスター 1,987,#9b8d68,155,141,104
The Gleaners,クラスター 2,722,#18111b,24,17,27
The Gleaners,クラスター 3,"1,030",#2a2223,42,34,35
The Gleaners,クラスター 4,993,#3c312a,60,49,42
The Gleaners,クラスター 5,756,#8d8058,141,128,88
The Gleaners,クラスター 6,780,#524535,82,69,53
The Gleaners,クラスター 7,"1,410",#c2b5a4,194,181,164
